structur;name;year;month;data_expected
WCPFC;12th Regular Sessions of the Commission;2015;12;F
WCPFC;13th Regular Sessions of the Commission;2016;12;F
WCPFC;14th Regular Sessions of the Commission;2017;12;F
WCPFC;15th Regular Sessions of the Commission;2018;12;F
WCPFC;16th Regular Sessions of the Commission;2019;12;F
WCPFC;First Special Session;2010;7;F
WCPFC;2th Intersessional Meeting to Progress the Draft Bridging Measure for Tropical Tunas;2017;8;F
WCPFC;3th Intersessional Meeting to Progress the Draft Bridging Measure for Tropical Tunas;2017;12;F
WCPFC;10th Scientific Committee;2014;8;T
WCPFC;11th Scientific Committee;2015;8;T
WCPFC;12th Scientific Committee;2016;8;T
WCPFC;13th Scientific Committee;2017;8;T
WCPFC;14th Scientific Committee;2018;8;T
WCPFC;15th Scientific Committee;2019;8;T
WCPFC;Ad Hoc Task Group;2006;8;NA
WCPFC;Ad Hoc Task Group;2009;9;NA
WCPFC;Summary Report of the Informal Consultation toward WCPFC2;2005;9;NA
WCPFC;Report of the Informal Consultation for the Northern Committee;2005;9;NA
WCPFC;IWG-ROP4;2015;7;NA
WCPFC;3rd Intersessional Working Group - Regional Observer Progamme (ROP-IWG3), 17-20 March 2009, Guam;2009;3;NA
WCPFC;2nd Intersessional Working Group - Regional Observer Progamme (ROP-IWG2);2008;7;NA
WCPFC;1st Intersessional Working Group - Regional Observer Programme;2007;9;NA
WCPFC;10th Northern Committee;2014;9;NA
WCPFC;11th Northern Committee;2015;8;NA
WCPFC;12th Northern Committee;2016;8;NA
WCPFC;13th Northern Committee;2017;8;NA
WCPFC;14th Northern Committee;2018;9;NA
WCPFC;15th Northern Committee;2019;9;NA
WCPFC;10th Technical and Compliance Committee;2014;9;NA
WCPFC;11th Technical and Compliance Committee;2015;9;NA
WCPFC;TCC Special Session 2015_CMR reviews;2015;11;NA
WCPFC;12th Technical and Compliance Committee;2016;9;NA
WCPFC;13th Technical and Compliance Committee;2017;9;NA
WCPFC;14th Technical and Compliance Committee;2018;9;NA
WCPFC;15th Technical and Compliance Committee;2019;9;NA
WCPFC;4th WCPFC-IATTC Consultative Meeting;2008;12;NA
WCPFC;3rd WCPFC-IATTC Consultative Meeting;2008;6;NA
WCPFC;2nd WCPFC-IATTC Consultative Meeting;2008;12;NA
WCPFC;1st WCPFC-IATTC Consultative Meeting;2007;6;NA
WCPFC;FADMgmtOptionsIWG03;2018;10;NA
WCPFC;CMSIWG;2018;9;NA
WCPFC;ERandEMWG3;2018;8;NA
WCPFC;WG-SPALB;2017;10;NA
WCPFC;FADMgmtOptions - IWG02 2016;2016;9;NA
WCPFC;Consultation Meeting on development of the new strategic and corporate plans for the Commission;2016;9;NA
WCPFC;CDS-IWG03;2016;9;NA
WCPFC;ERandEMWG2;2018;8;NA
WCPFC;(MOW4) Harvest Strategy Workshop;2015;11;NA
WCPFC;FADMgmtOptions - IWG;2015;11;NA
WCPFC;CDS-IWG 2015;2015;9;NA
WCPFC;ERandEMWG;2015;7;NA
WCPFC;WCPFC Management Objectives Workshop 3;2014;11;NA
WCPFC;Implementation of CMM 2013-06 and Disproportionate Burden Workshop;2014;11;NA
WCPFC;CDS-IWG 2014;2014;9;NA
WCPFC;E-monitoring and E-reporting Workshop;2014;3;NA
WCPFC;Providing of operational level data;2014;4;T
WCPFC;Providing of operational level data;2015;4;T
WCPFC;Providing of operational level data;2016;4;T
WCPFC;Providing of operational level data;2017;4;T
WCPFC;Providing of operational level data;2018;4;T
WCPFC;Providing of operational level data;2019;4;T
EU;Call for data for the Fisheries Dependent Information;2018;7;T
EU;Call for data for the Fisheries Dependent Information;2017;10;T
